run_name,闭合状态,Excel位置,本地metrics路径,建议处理,缺失解释分类,替代run线索
matrix_balanced721_qwen05_e1__has_vul__full,双向闭合,应跑缺口明细!R16; 全部结果指标!R161; has指标!R56,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__has_vul__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__has_vul__prompt,双向闭合,应跑缺口明细!R15; 全部结果指标!R170; has指标!R65,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__has_vul__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__has_vul__qlora,双向闭合,应跑缺口明细!R17; 全部结果指标!R172; has指标!R67,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__has_vul__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_line__direct,双向闭合,应跑缺口明细!R22; 全部结果指标!R179; line指标!R46,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_line__full,双向闭合,应跑缺口明细!R24; 全部结果指标!R187; line指标!R53,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_line__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_line__prompt,双向闭合,应跑缺口明细!R23; 全部结果指标!R193; line指标!R59,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_line__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_line__qlora,双向闭合,应跑缺口明细!R25; 全部结果指标!R199; line指标!R65,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_line__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_type__direct,双向闭合,应跑缺口明细!R18; 全部结果指标!R211; type指标!R51,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_type__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__direct\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_type__full,双向闭合,应跑缺口明细!R20; 全部结果指标!R214; type指标!R54,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_type__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_type__prompt,双向闭合,应跑缺口明细!R19; 全部结果指标!R227; type指标!R67,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_type__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__prompt\metrics.json,可作为闭合结果,,
matrix_balanced721_qwen05_e1__vul_type__qlora,双向闭合,应跑缺口明细!R21; 全部结果指标!R229; type指标!R69,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_balanced721_qwen05_e1__vul_type__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst__has_vul__direct,双向闭合,全部结果指标!R159; has指标!R54,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst__has_vul__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__direct\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst__has_vul__full,双向闭合,全部结果指标!R162; has指标!R57,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst__has_vul__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst__has_vul__prompt,双向闭合,全部结果指标!R171; has指标!R66,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst__has_vul__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst__has_vul__qlora,双向闭合,全部结果指标!R173; has指标!R68,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst__has_vul__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline__vul_line__direct,双向闭合,全部结果指标!R180; line指标!R47,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline__vul_line__full,双向闭合,全部结果指标!R188; line指标!R54,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline__vul_line__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline__vul_line__prompt,双向闭合,全部结果指标!R194; line指标!R60,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline__vul_line__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline__vul_line__qlora,双向闭合,全部结果指标!R200; line指标!R66,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline__vul_line__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean__vul_line__direct,双向闭合,全部结果指标!R181; line指标!R48,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean__vul_line__full,双向闭合,全部结果指标!R189; line指标!R55,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean__vul_line__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean__vul_line__prompt,双向闭合,全部结果指标!R195; line指标!R61,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean__vul_line__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean__vul_line__qlora,双向闭合,全部结果指标!R201; line指标!R67,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean__vul_line__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean_bounded__vul_line__direct,双向闭合,全部结果指标!R182; line指标!R49,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean_bounded__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean_bounded__vul_line__full,双向闭合,全部结果指标!R190; line指标!R56,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean_bounded__vul_line__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean_bounded__vul_line__prompt,双向闭合,全部结果指标!R196; line指标!R62,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean_bounded__vul_line__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_clean_bounded__vul_line__qlora,双向闭合,全部结果指标!R202; line指标!R68,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_clean_bounded__vul_line__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_line_rank__vul_line__full,双向闭合,全部结果指标!R191; line指标!R57,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_line_rank__vul_line__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_line_rank__vul_line__qlora,双向闭合,全部结果指标!R203; line指标!R69,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_line_rank__vul_line__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_line_rank_direct_prompt_top120__vul_line__direct,双向闭合,全部结果指标!R183; line指标!R50,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_line_rank_direct_prompt_top120__vul_line__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__direct\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_line_rank_direct_prompt_top120__vul_line__prompt,双向闭合,全部结果指标!R197; line指标!R63,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_line_rank_direct_prompt_top120__vul_line__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__prompt\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vline_line_rank_full_fp32__vul_line__full,双向闭合,全部结果指标!R192; line指标!R58,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vline_line_rank_full_fp32__vul_line__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vtype__vul_type__direct,双向闭合,全部结果指标!R212; type指标!R52,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vtype__vul_type__direct\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__direct\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vtype__vul_type__full,双向闭合,全部结果指标!R215; type指标!R55,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vtype__vul_type__full\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vtype__vul_type__prompt,双向闭合,全部结果指标!R228; type指标!R68,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vtype__vul_type__prompt\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__prompt\metrics.json,可作为闭合结果,,
matrix_large_qwen05_inst_vtype__vul_type__qlora,双向闭合,全部结果指标!R230; type指标!R70,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_large_qwen05_inst_vtype__vul_type__qlora\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_smoke_hasv_direct_qwen05_inst,双向闭合,全部结果指标!R164; has指标!R59,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_hasv_direct_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__direct\metrics.json,可作为闭合结果,,
matrix_smoke_hasv_lora_qwen05_inst,双向闭合,全部结果指标!R165; has指标!R60,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_hasv_lora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_smoke_hasv_prompt_qwen05_inst,双向闭合,全部结果指标!R166; has指标!R61,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_hasv_prompt_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__prompt\metrics.json,可作为闭合结果,,
matrix_smoke_hasv_qlora_qwen05_inst,双向闭合,全部结果指标!R168; has指标!R63,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_hasv_qlora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_smoke_hasv_qlora_qwen05_inst_headfix,双向闭合,全部结果指标!R167; has指标!R62,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_hasv_qlora_qwen05_inst_headfix\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
matrix_smoke_vtype_direct_qwen05_inst,双向闭合,全部结果指标!R217; type指标!R57,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_vtype_direct_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__direct\metrics.json,可作为闭合结果,,
matrix_smoke_vtype_lora_qwen05_inst,双向闭合,全部结果指标!R218; type指标!R58,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_vtype_lora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_smoke_vtype_prompt_qwen05_inst,双向闭合,全部结果指标!R219; type指标!R59,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_vtype_prompt_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__prompt\metrics.json,可作为闭合结果,,
matrix_smoke_vtype_qlora_qwen05_inst,双向闭合,全部结果指标!R221; type指标!R61,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_vtype_qlora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
matrix_smoke_vtype_qlora_qwen05_inst_headfix,双向闭合,全部结果指标!R220; type指标!R60,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\matrix_smoke_vtype_qlora_qwen05_inst_headfix\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
medium_hasv_qlora_qwen05_inst,双向闭合,全部结果指标!R169; has指标!R64,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\medium_hasv_qlora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
medium_vtype_full_qwen05_inst,双向闭合,全部结果指标!R224; type指标!R64,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\medium_vtype_full_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
medium_vtype_full_qwen05_inst_fp32,双向闭合,全部结果指标!R223; type指标!R63,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\medium_vtype_full_qwen05_inst_fp32\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
medium_vtype_full_qwen05_inst_fp32_fixed,双向闭合,全部结果指标!R222; type指标!R62,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\medium_vtype_full_qwen05_inst_fp32_fixed\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
medium_vtype_qlora_qwen05_inst,双向闭合,全部结果指标!R226; type指标!R66,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\medium_vtype_qlora_qwen05_inst\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
medium_vtype_qlora_qwen05_inst_fp32head_fixed,双向闭合,全部结果指标!R225; type指标!R65,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\medium_vtype_qlora_qwen05_inst_fp32head_fixed\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
original_codebert_base_vul_line_full_e1__vul_line__full,双向闭合,补齐前后12条明细!R8; 全部结果指标!R313; line指标!R99,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_reattached\experiments\runs\original_codebert_base_vul_line_full_e1__vul_line__full\microsoft_codebert-base\vul_line__finetune\metrics.json,可作为闭合结果,,
original_codebert_base_vul_type_full_e1__vul_type__full,双向闭合,补齐前后12条明细!R6; 全部结果指标!R312; type指标!R97,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_reattached\experiments\runs\original_codebert_base_vul_type_full_e1__vul_type__full\_root_autodl-tmp_modelscope_models_microsoft_codebert-base\vul_type__finetune\metrics.json,可作为闭合结果,,
original_graphcodebert_base_vul_line_full_e1__vul_line__full,双向闭合,补齐前后12条明细!R12; 全部结果指标!R315; line指标!R100,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_reattached\experiments\runs\original_graphcodebert_base_vul_line_full_e1__vul_line__full\microsoft_graphcodebert-base\vul_line__finetune\metrics.json,可作为闭合结果,,
original_graphcodebert_base_vul_type_full_e1__vul_type__full,双向闭合,补齐前后12条明细!R10; 全部结果指标!R314; type指标!R98,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_autodl_reattached\experiments\runs\_short_pulled_original_vultype\original_graphcodebert_base_vul_type_full_e1__vul_type__full\vul_type__finetune\metrics.json,可作为闭合结果,,
original_qwen25coder3b_vtype_vline_qlora_e1__vul_line__qlora,双向闭合,补齐前后12条明细!R4; 应跑缺口明细!R49; 全部结果指标!R276; line指标!R90,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\original_qwen25coder3b_vtype_vline_qlora_e1__vul_line__qlora\Qwen2.5-Coder-3B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
original_qwen25coder3b_vtype_vline_qlora_e1__vul_type__qlora,双向闭合,补齐前后12条明细!R2; 应跑缺口明细!R45; 全部结果指标!R280; type指标!R87,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\original_qwen25coder3b_vtype_vline_qlora_e1__vul_type__qlora\Qwen2.5-Coder-3B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_line_p0,双向闭合,全部结果指标!R316,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_line_p0\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_line__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_line_p1,双向闭合,全部结果指标!R317,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_line_p1\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_line__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_line_p2,双向闭合,全部结果指标!R318,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_line_p2\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_line__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_line_p3,双向闭合,全部结果指标!R319,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_line_p3\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_line__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_type_p0,双向闭合,全部结果指标!R320,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_type_p0\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_type__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_type_p1,双向闭合,全部结果指标!R321,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_type_p1\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_type__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_type_p2,双向闭合,全部结果指标!R322,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_type_p2\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_type__prompt_ablation\metrics.json,可作为闭合结果,,
prompt_ablation_qwen25coder3b_original_e1_vul_type_p3,双向闭合,全部结果指标!R323,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\C_westb_6gpu\experiments\runs\prompt_ablation_qwen25coder3b_original_e1_vul_type_p3\Qwen_Qwen2.5-Coder-3B-Instruct_local\vul_type__prompt_ablation\metrics.json,可作为闭合结果,,
qwen05_has_vul_qlora_r32_e3_lr2e5,双向闭合,全部结果指标!R174; has指标!R69,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\qwen05_has_vul_qlora_r32_e3_lr2e5\Qwen_Qwen2.5-Coder-0.5B-Instruct\has_vul__finetune\metrics.json,可作为闭合结果,,
qwen05_vline_line_rank_qlora_r16_e3_lr2e5,双向闭合,全部结果指标!R204; line指标!R70,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\qwen05_vline_line_rank_qlora_r16_e3_lr2e5\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
qwen05_vline_line_rank_qlora_r32_e3_lr2e5,双向闭合,全部结果指标!R205; line指标!R71,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\qwen05_vline_line_rank_qlora_r32_e3_lr2e5\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_line__finetune\metrics.json,可作为闭合结果,,
qwen05_vul_type_qlora_r16_e3_lr1e5_stable,双向闭合,全部结果指标!R231; type指标!R71,C:\Users\xudam\SynologyDrive\工作\博士\论文\代码\区块链漏洞检测\results\remote_mirror\A_8.130.211.198\experiments\runs\qwen05_vul_type_qlora_r16_e3_lr1e5_stable\Qwen_Qwen2.5-Coder-0.5B-Instruct\vul_type__finetune\metrics.json,可作为闭合结果,,
